State,City,Station,Format
Georgia,Augusta,WEZO - 1230 The Blaze - Urban AC/Black Gospel,Unknown Format
Georgia,Augusta,WNRR - Gospel 1380 - Urban Gospel,Unknown Format
Georgia,Augusta,WTHB,Praise 1550 AM
Georgia,Augusta,WKZK,The Spirit 103.7 FM & 1600 AM
Georgia,Augusta,WAEG,Smooth Jazz 92.3
Georgia,Augusta,WAAW,Shout 94.7
Georgia,Augusta,WKSP,96.3 Kiss FM
Georgia,Augusta,WTHB,Praise 96.9
Georgia,Augusta,WIIZ,The Wiz 97.9
Georgia,Augusta,WAKB,Magic 100.9 
Georgia,Augusta,WFXA,Foxie 103 Jamz
Georgia,Augusta,WKZK,Sonshine 103.7
Georgia,Augusta,WPRW,Power 107
Georgia,Augusta,WCHZ-FM,HOT 95.5/93.1
Georgia,Augusta,WYBO - 92.9 The Soul Mine - Rhythmic Oldies,Unknown Format
Georgia,Augusta,WYNF - Augusta's BIN 1340 - Black-oriented news,Unknown Format
Georgia,Savannah,WSOK,1230/99.7 WSOK
Georgia,Savannah,WEAS-FM − E93 − Mainstream Urban,Unknown Format
Georgia,Savannah,WQBT,94.1 The Beat
Georgia,Savannah,WLVH,Love 101.1
Georgia,Savannah,WTYB,Magic 103.9
Georgia,Savannah,WXYY - G100 - Rhythmic contemporary,Unknown Format
Georgia,Columbus,WOKS,WOKS AM1340
Georgia,Columbus,WAGH,Magic 101.3
Georgia,Columbus,WBFA,98.3 the Beat
Georgia,Columbus,WEAM-FM,Praise 100.7
Georgia,Columbus,WFXE,Foxie 105
Georgia,Columbus,WKZJ,K-92.7
Georgia,Columbus,WKCN-HD2,HIP HOP 106.5
Georgia,Columbus,WTLM - Hallelujah 1520 AM - Urban contemporary gospel,Unknown Format
Georgia,Columbus,WHTY/W234BX - Columbus’ BIN 94.7/1460 - Black-oriented news,Unknown Format
Georgia,Columbus,WLTC-HD2 - Smooth RnB 92.1 - Urban adult contemporary,Unknown Format
Georgia,Macon,WFXM,Power 107.1
Georgia,Macon,WIBB-FM,97.9 WIBB
Georgia,Macon,WLZN,MACON 92.3
Georgia,Macon,WQMJ,Majic 100 FM
Georgia,Macon,WRBV,V-101.7
Georgia,Macon,WRWR,Kiss 105.1/107.5
Georgia,Macon,WYPZ - Praise 99.5 - Urban gospel,Unknown Format
Georgia,Macon,WMGE - Macon's BIN 1670 - Black-oriented news,Unknown Format
Georgia,Macon,WUXL - My City - Urban gospel,Unknown Format
Georgia,Albany,"WUTU - ""Old School Classics 88.3 Urban Oldies",Unknown Format
Georgia,Albany,WJYZ,AM960 the Light
Georgia,Albany,WJIZ,96.3 WJIZ
Georgia,Albany,WQVE,V-101.7
Georgia,Albany,WMRZ,98.1 Kiss FM - Urban adult contemporary
Georgia,Albany,WZBN,Praise 105.5 Urban contemporary gospel
Georgia,Albany,WMRG,"""Streetz 93.5"" - Urban contemporary"
Georgia,Albany,"WASU-LP - ""Real 92.7"" - Urban contemporary",Unknown Format
Georgia,Albany,"WTTY - ""97.7 The Beat"" - Urban Adult Contemporary",Unknown Format
Georgia,Brunswick,WSOL-FM - V-101.5,Urban Adult Contemporary
Georgia,Brunswick,WBGA - Real 96.3,Urban  contemporary
Georgia,Valdosta,WGUN,Magic 950
Georgia,Valdosta,WHLJ-FM,Foxy 97.5
Georgia,Valdosta,WGOV-FM,Power 96.7
Georgia,Valdosta,WSTI-FM,Star 105.3
Georgia,Valdosta,WWRQ-FM -  107.9 The Beat - Urban contemporary,Unknown Format
Georgia,Elberton,WVGC - Jams 1400 - Urban adult contemporary,Unknown Format
Georgia,Dublin,WDBN - 107.9 Jamz - Urban contemporary,Unknown Format
Georgia,Irwinton,WVKX - Love 103.7 - Urban contemporary,Unknown Format
Georgia,Lincolnton,WLCZ - Gospel/Inspirational,Unknown Format
Hawaii,Honolulu,KUBT,93.9 The Beat
Hawaii,Honolulu,KUBT HD-2 - Jamz Hawaii - Classic Hip Hop,Unknown Format
Hawaii,Honolulu,KUMU-FM,94.7 KUMU
Hawaii,Honolulu,KPHW - Power 104.3 - Rhythmic Top 40,Unknown Format
Hawaii,Honolulu,KQMQ-FM - HI93 - Contemporary Hawaiian/Reggae,Unknown Format
Hawaii,Honolulu,KDNN - Island 98.5 - Hawaiian contemporary hits,Unknown Format
Hawaii,Honolulu,KCCN-FM - FM100 - Hawaiian contemporary hits,Unknown Format
Hawaii,Maui,KJMD,Da Jam 98.3
Hawaii,Maui,KLHI-FM - HI92 - Hawaiian/Reggae,Unknown Format
Hawaii,Kauai,KJMQ,98.1 Jamz
Hawaii,Kauai,KSRF - HI95  - Contemporary Hawaiian/Reggae,Unknown Format
Idaho,Boise,KWYD - Wild 101.1,Rhythmic contemporary
Idaho,Boise,KFXD - Power 105.5 - Rhythmic contemporary,Unknown Format
Idaho,Boise,KOAY - Project 88.7 - Rhythmic CHR,Unknown Format
Idaho,Twin Falls,KXTA-HD3 - Mega 97.5 - Bilingual CHR,Unknown Format
Illinois,Bloomington,WXRJ-LP - Real Radio 94.9 - Urban Adult Contemporary,Unknown Format
Illinois,Chicago,WGRB,Inspiration 1390
Illinois,Chicago,WGCI-FM,107.5 WGCI
Illinois,Chicago,WVAZ,V103
Illinois,Chicago,WPWX,Power 92
Illinois,Chicago,WBBM-FM - B96 - Rhythmic Top 40,Unknown Format
Illinois,Chicago,WSRB,106.3
Illinois,Chicago,WBMX - 104.3 Jams - Classic Hip Hop,Unknown Format
Illinois,Chicago,WVON - AM 1690 WVON - Urban Talk,Unknown Format
Illinois,Chicago,WYCA - Rejoice 102.3 - Urban Gospel,Unknown Format
Illinois,Chicago,WWHN - Comfortable Radio - Urban AC,Unknown Format
Illinois,Chicago,WOJO-HD2 - Streetz 95.1 & 105.1 HD2 - Urban contemporary,Unknown Format
Illinois,Chicago,WVIV-FM - Latino Mix 93.5 - Spanish rhythmic,Unknown Format
Illinois,Chicago,WBEZ-HD2 - WBEW Vocalo Urban Contemporary,Unknown Format
Illinois,Chicago,WMFN/WVAZ-HD2 - Chicago's BIN 640 - Black-oriented news,Unknown Format
Illinois,Decatur,WYDS-HD2 - Magic 95.5 - Urban Adult Contemporary,Unknown Format
Illinois,Champaign,WCZQ,Hot 105.5
Illinois,Champaign,WLRW-HD2 - 97.9 The Vibe - Urban adult contemporary,Unknown Format
Illinois,Champaign,"WILL-HD2 - Illinois Soul - Smooth jazz, neo soul, R&B",Unknown Format
